# model,mass,ctau,obs,exp,exp-2s,exp-1s,exp+1s,exp+1s
BToPhi,0.304,10.00,1.8542,1.4766,0.5306,0.8854,2.3418,3.4662
BToPhi,0.304,100.00,2.3593,3.0000,0.9375,1.6143,5.6547,9.0955
BToPhi,0.308,10.00,2.0769,1.3984,0.5244,0.8590,2.1900,3.2132
BToPhi,0.308,100.00,2.1259,3.1250,0.9888,1.7064,5.7408,9.4733
BToPhi,0.314,10.00,0.9589,1.2344,0.5111,0.7823,1.9380,2.9451
BToPhi,0.314,100.00,2.3507,3.0781,0.9860,1.6888,5.6547,9.3312
BToPhi,0.322,10.00,1.8410,1.0898,0.4598,0.6961,1.7024,2.5712
BToPhi,0.322,100.00,7.3573,3.0938,1.0031,1.7054,5.5355,7.4413
BToPhi,0.328,10.00,2.5808,1.0547,0.4573,0.6813,1.6306,2.3819
BToPhi,0.328,100.00,11.3457,3.1406,1.0305,1.7394,5.5692,9.0837
BToPhi,0.338,10.00,0.8731,0.9414,0.4266,0.6196,1.4330,2.0864
BToPhi,0.338,100.00,3.2197,3.3125,1.1128,1.8518,5.7684,9.2321
BToPhi,0.346,10.00,0.6191,0.8867,0.4087,0.5880,1.3391,1.9488
BToPhi,0.346,100.00,2.0342,3.3281,1.1700,1.9287,5.6629,8.9363
BToPhi,0.352,10.00,1.5977,0.8516,0.3958,0.5667,1.2826,1.8799
BToPhi,0.352,100.00,3.3259,3.4844,1.2522,2.0369,5.8455,9.1482
BToPhi,0.358,10.00,1.8984,0.7930,0.3779,0.5368,1.1817,1.6957
BToPhi,0.358,100.00,4.2226,3.5469,1.3301,2.1267,5.8372,9.0459
BToPhi,0.362,10.00,1.3262,0.7852,0.3742,0.5315,1.1701,1.6980
BToPhi,0.362,100.00,3.3104,3.8125,1.3999,2.2292,6.3352,9.7447
BToPhi,0.366,10.00,0.8403,0.7715,0.3737,0.5229,1.1497,1.6497
BToPhi,0.366,100.00,3.1981,3.7812,1.4918,2.3325,6.1627,9.3723
BToPhi,0.370,10.00,1.5320,0.7578,0.3671,0.5166,1.1233,1.6216
BToPhi,0.370,100.00,5.8557,3.9219,1.5779,2.4386,6.2668,9.4942
BToPhi,0.375,10.00,2.2949,0.7422,0.3653,0.5066,1.0942,1.5620
BToPhi,0.375,100.00,7.3941,4.2969,1.7120,2.6410,6.7804,10.0706
BToPhi,0.655,10.00,0.3407,0.1606,0.0828,0.1126,0.2356,0.3354
BToPhi,0.670,10.00,0.3205,0.1616,0.0833,0.1127,0.2370,0.3374
BToPhi,1.190,10.00,0.2850,0.0552,0.0276,0.0379,0.0838,0.1241
BToPhi,1.190,100.00,1.1663,0.2451,0.1187,0.1651,0.3790,0.5765
BToPhi,1.260,10.00,0.3137,0.0518,0.0255,0.0349,0.0786,0.1177
BToPhi,1.260,100.00,1.1692,0.2139,0.1011,0.1416,0.3341,0.5144
BToPhi,1.280,10.00,0.1955,0.0483,0.0238,0.0326,0.0738,0.1101
BToPhi,1.280,100.00,0.6930,0.2002,0.0954,0.1339,0.3135,0.4819
BToPhi,1.300,10.00,0.1525,0.0474,0.0229,0.0317,0.0719,0.1082
BToPhi,1.300,100.00,0.5931,0.1904,0.0893,0.1264,0.2997,0.4678
BToPhi,1.320,10.00,0.0709,0.0464,0.0225,0.0311,0.0712,0.1069
BToPhi,1.320,100.00,0.3382,0.1855,0.0877,0.1229,0.2913,0.4512
BToPhi,1.340,10.00,0.1261,0.0454,0.0216,0.0302,0.0697,0.1047
BToPhi,1.340,100.00,0.5795,0.1797,0.0849,0.1197,0.2828,0.4373
BToPhi,1.360,10.00,0.0746,0.0444,0.0215,0.0298,0.0689,0.1035
BToPhi,1.360,100.00,0.3304,0.1758,0.0831,0.1164,0.2760,0.4275
BToPhi,1.390,10.00,0.0420,0.0415,0.0201,0.0278,0.0650,0.0985
BToPhi,1.390,100.00,0.1616,0.1611,0.0755,0.1070,0.2543,0.3961
BToPhi,1.410,10.00,0.0459,0.0415,0.0198,0.0276,0.0637,0.0974
BToPhi,1.410,100.00,0.1410,0.1592,0.0746,0.1050,0.2505,0.3910
BToPhi,1.450,10.00,0.1097,0.0376,0.0173,0.0246,0.0601,0.0927
BToPhi,1.450,100.00,0.2910,0.1392,0.0620,0.0897,0.2224,0.3526
BToPhi,1.490,10.00,0.0449,0.0386,0.0172,0.0249,0.0604,0.0929
BToPhi,1.490,100.00,0.1269,0.1348,0.0600,0.0869,0.2164,0.3418
BToPhi,1.530,10.00,0.0574,0.0391,0.0174,0.0252,0.0618,0.0956
BToPhi,1.530,100.00,0.2292,0.1260,0.0541,0.0805,0.2053,0.3247
BToPhi,1.550,10.00,0.1139,0.0366,0.0166,0.0238,0.0585,0.0903
BToPhi,1.550,100.00,0.3696,0.1206,0.0523,0.0768,0.1946,0.3089
BToPhi,1.570,10.00,0.1097,0.0366,0.0163,0.0236,0.0585,0.0911
BToPhi,1.570,100.00,0.3247,0.1191,0.0512,0.0751,0.1961,0.3116
BToPhi,1.590,10.00,0.0792,0.0356,0.0159,0.0230,0.0570,0.0879
BToPhi,1.590,100.00,0.2254,0.1138,0.0493,0.0725,0.1854,0.2945
BToPhi,1.620,10.00,0.0293,0.0347,0.0154,0.0223,0.0554,0.0863
BToPhi,1.620,100.00,0.0934,0.1104,0.0483,0.0706,0.1799,0.2869
BToPhi,1.640,10.00,0.0261,0.0347,0.0154,0.0223,0.0554,0.0863
