# model,mass,ctau,obs,exp,exp-2s,exp-1s,exp+1s,exp+1s
BToPhi,0.304,1.00,0.3694,0.3613,0.1510,0.2282,0.5414,0.7526
BToPhi,0.308,1.00,0.4109,0.3281,0.1461,0.2158,0.4890,0.6838
BToPhi,0.314,1.00,0.3538,0.3359,0.1430,0.2048,0.5073,0.7062
BToPhi,0.322,1.00,0.4054,0.3193,0.1322,0.1892,0.3206,0.3219
BToPhi,0.328,1.00,0.5242,0.2725,0.1298,0.1844,0.3061,0.3378
BToPhi,0.338,1.00,0.2591,0.2646,0.1282,0.1804,0.3860,0.5545
BToPhi,0.346,1.00,0.1726,0.2539,0.1190,0.1685,0.3905,0.5500
BToPhi,0.352,1.00,0.5119,0.2588,0.1193,0.1683,0.3877,0.5421
BToPhi,0.358,1.00,0.6547,0.2393,0.1178,0.1643,0.3489,0.4865
BToPhi,0.362,1.00,0.5295,0.2520,0.1181,0.1641,0.3725,0.5201
BToPhi,0.366,1.00,0.3323,0.2471,0.1177,0.1642,0.3702,0.5176
BToPhi,0.370,1.00,0.5124,0.2500,0.1172,0.1639,0.3676,0.5102
BToPhi,0.375,1.00,0.6598,0.2363,0.1172,0.1628,0.3428,0.4764
BToPhi,0.655,1.00,0.2658,0.1279,0.0670,0.0903,0.1840,0.2553
BToPhi,0.670,1.00,0.2881,0.1323,0.0693,0.0934,0.1903,0.2641
BToPhi,1.190,1.00,0.7665,0.1904,0.0997,0.1344,0.2747,0.3841
BToPhi,1.260,1.00,0.9813,0.2109,0.1104,0.1489,0.3043,0.4241
BToPhi,1.280,1.00,0.6247,0.2080,0.1081,0.1455,0.3000,0.4208
BToPhi,1.300,1.00,0.5592,0.2197,0.1150,0.1551,0.3169,0.4418
BToPhi,1.320,1.00,0.3817,0.2275,0.1191,0.1606,0.3282,0.4547
BToPhi,1.340,1.00,0.4382,0.2354,0.1232,0.1653,0.3376,0.4705
BToPhi,1.360,1.00,0.2520,0.2412,0.1253,0.1697,0.3470,0.4813
BToPhi,1.390,1.00,0.2333,0.2461,0.1279,0.1731,0.3550,0.4917
BToPhi,1.410,1.00,0.3779,0.2529,0.1324,0.1785,0.3628,0.5041
BToPhi,1.450,1.00,0.5235,0.2686,0.1406,0.1896,0.3852,0.5352
BToPhi,1.490,1.00,0.5744,0.2920,0.1528,0.2061,0.4154,0.5723
BToPhi,1.530,1.00,0.3425,0.3086,0.1664,0.2208,0.4365,0.5992
BToPhi,1.550,1.00,0.6622,0.3125,0.1660,0.2221,0.4445,0.6125
BToPhi,1.570,1.00,0.8771,0.3232,0.1705,0.2289,0.4611,0.6344
BToPhi,1.590,1.00,0.8379,0.3311,0.1733,0.2337,0.4736,0.6527
BToPhi,1.620,1.00,0.2728,0.3398,0.1779,0.2399,0.4875,0.6730
BToPhi,1.640,1.00,0.2156,0.3457,0.1810,0.2440,0.4959,0.6846
BToPhi,1.660,1.00,0.2504,0.3740,0.1958,0.2640,0.5321,0.7283
BToPhi,1.680,1.00,0.2851,0.3828,0.1989,0.2693,0.5446,0.7454
BToPhi,1.700,1.00,0.4095,0.3770,0.1929,0.2634,0.5437,0.7532
BToPhi,1.730,1.00,0.7148,0.3848,0.1984,0.2697,0.5550,0.7688
BToPhi,1.760,1.00,0.7510,0.4199,0.2149,0.2950,0.6074,0.8402
BToPhi,1.790,1.00,0.8517,0.4590,0.2349,0.3207,0.6621,0.9171
BToPhi,1.820,1.00,0.9615,0.5039,0.2638,0.3557,0.7208,0.9903
BToPhi,1.840,1.00,1.1131,0.4941,0.2529,0.3452,0.7108,0.9799
BToPhi,1.860,1.00,1.4874,0.4941,0.2587,0.3488,0.7069,0.9711
BToPhi,1.880,1.00,1.2032,0.5137,0.2689,0.3626,0.7348,1.0095
BToPhi,1.900,1.00,1.2412,0.5293,0.2771,0.3756,0.7529,1.0273
BToPhi,1.950,1.00,1.1406,0.5625,0.2944,0.3991,0.8002,1.0953
BToPhi,1.980,1.00,1.0742,0.5840,0.3057,0.4144,0.8307,1.1371
BToPhi,2.020,1.00,1.1534,0.6289,0.3366,0.4508,0.8871,1.2075
BToPhi,2.160,1.00,3.2721,0.7500,0.3955,0.5340,1.0639,1.4584
BToPhi,2.220,1.00,2.1299,0.7812,0.4059,0.5525,1.1082,1.5142
BToPhi,2.360,1.00,3.4320,0.8359,0.4245,0.5884,1.1858,1.6043
BToPhi,2.400,1.00,4.1588,0.8359,0.4114,0.5773,1.1891,1.6172
BToPhi,2.460,1.00,4.7139,0.8555,0.4211,0.5840,1.2169,1.6441
BToPhi,2.520,1.00,1.7168,0.8594,0.4297,0.5908,1.2259,1.6649
BToPhi,2.580,1.00,2.3137,0.8555,0.4344,0.5923,1.2237,1.6489
