# model,mass,ctau,obs,exp,exp-2s,exp-1s,exp+1s,exp+1s
BToPhi,0.304,1.00,0.3694,0.3613,0.1510,0.2282,0.5414,0.7526
BToPhi,0.304,10.00,1.8542,1.4766,0.5306,0.8854,2.3418,3.4662
BToPhi,0.304,100.00,2.3593,3.0000,0.9375,1.6143,5.6547,9.0955
BToPhi,0.308,1.00,0.4109,0.3281,0.1461,0.2158,0.4890,0.6838
BToPhi,0.308,10.00,2.0769,1.3984,0.5244,0.8590,2.1900,3.2132
BToPhi,0.308,100.00,2.1259,3.1250,0.9888,1.7064,5.7408,9.4733
BToPhi,0.314,1.00,0.3538,0.3359,0.1430,0.2048,0.5073,0.7062
BToPhi,0.314,10.00,0.9589,1.2344,0.5111,0.7823,1.9380,2.9451
BToPhi,0.314,100.00,2.3507,3.0781,0.9860,1.6888,5.6547,9.3312
BToPhi,0.322,1.00,0.4054,0.3193,0.1322,0.1892,0.3206,0.3219
BToPhi,0.322,10.00,1.8410,1.0898,0.4598,0.6961,1.7024,2.5712
BToPhi,0.322,100.00,7.3573,3.0938,1.0031,1.7054,5.5355,7.4413
BToPhi,0.328,1.00,0.5242,0.2725,0.1298,0.1844,0.3061,0.3378
BToPhi,0.328,10.00,2.5808,1.0547,0.4573,0.6813,1.6306,2.3819
BToPhi,0.328,100.00,11.3457,3.1406,1.0305,1.7394,5.5692,9.0837
BToPhi,0.338,1.00,0.2591,0.2646,0.1282,0.1804,0.3860,0.5545
BToPhi,0.338,10.00,0.8731,0.9414,0.4266,0.6196,1.4330,2.0864
BToPhi,0.338,100.00,3.2197,3.3125,1.1128,1.8518,5.7684,9.2321
BToPhi,0.346,1.00,0.1726,0.2539,0.1190,0.1685,0.3905,0.5500
BToPhi,0.346,10.00,0.6191,0.8867,0.4087,0.5880,1.3391,1.9488
BToPhi,0.346,100.00,2.0342,3.3281,1.1700,1.9287,5.6629,8.9363
BToPhi,0.352,1.00,0.5119,0.2588,0.1193,0.1683,0.3877,0.5421
BToPhi,0.352,10.00,1.5977,0.8516,0.3958,0.5667,1.2826,1.8799
BToPhi,0.352,100.00,3.3259,3.4844,1.2522,2.0369,5.8455,9.1482
BToPhi,0.358,1.00,0.6547,0.2393,0.1178,0.1643,0.3489,0.4865
BToPhi,0.358,10.00,1.8984,0.7930,0.3779,0.5368,1.1817,1.6957
BToPhi,0.358,100.00,4.2226,3.5469,1.3301,2.1267,5.8372,9.0459
BToPhi,0.362,1.00,0.5295,0.2520,0.1181,0.1641,0.3725,0.5201
BToPhi,0.362,10.00,1.3262,0.7852,0.3742,0.5315,1.1701,1.6980
BToPhi,0.362,100.00,3.3104,3.8125,1.3999,2.2292,6.3352,9.7447
BToPhi,0.366,1.00,0.3323,0.2471,0.1177,0.1642,0.3702,0.5176
BToPhi,0.366,10.00,0.8403,0.7715,0.3737,0.5229,1.1497,1.6497
BToPhi,0.366,100.00,3.1981,3.7812,1.4918,2.3325,6.1627,9.3723
BToPhi,0.370,1.00,0.5124,0.2500,0.1172,0.1639,0.3676,0.5102
BToPhi,0.370,10.00,1.5320,0.7578,0.3671,0.5166,1.1233,1.6216
BToPhi,0.370,100.00,5.8557,3.9219,1.5779,2.4386,6.2668,9.4942
