# model,mass1,mass2,ctau,obs,exp,exp-2s,exp-1s,exp+1s,exp+1s
ScenarioA,1.000,0.330,0.10,0.0028,0.0034,0.0013,0.0015,0.0056,0.0101
ScenarioA,1.000,0.330,0.25,0.0015,0.0015,0.0004,0.0006,0.0026,0.0040
ScenarioA,1.000,0.330,0.60,0.0016,0.0015,0.0004,0.0006,0.0026,0.0040
ScenarioA,1.000,0.330,1.00,0.0020,0.0015,0.0004,0.0012,0.0026,0.0040
ScenarioA,1.000,0.330,2.50,0.0027,0.0024,0.0009,0.0013,0.0046,0.0071
ScenarioA,1.000,0.330,6.00,0.0057,0.0054,0.0017,0.0031,0.0105,0.0160
ScenarioA,1.000,0.330,10.00,0.0090,0.0093,0.0026,0.0047,0.0179,0.0279
ScenarioA,1.000,0.330,25.00,0.0173,0.0176,0.0052,0.0091,0.0347,0.0532
ScenarioA,1.000,0.330,60.00,0.0473,0.0479,0.0142,0.0247,0.0948,0.1451
ScenarioA,1.000,0.330,100.00,0.0692,0.0698,0.0207,0.0365,0.1388,0.2118
ScenarioA,2.000,0.670,0.10,0.4408,0.1753,0.0678,0.1073,0.2843,0.4184
ScenarioA,2.000,0.670,0.25,0.3482,0.1450,0.0691,0.0982,0.2103,0.2869
ScenarioA,2.000,0.670,0.60,0.1376,0.0591,0.0291,0.0408,0.0869,0.1220
ScenarioA,2.000,0.670,1.00,0.0971,0.0405,0.0203,0.0279,0.0602,0.0853
ScenarioA,2.000,0.670,2.50,0.0863,0.0361,0.0181,0.0248,0.0543,0.0790
ScenarioA,2.000,0.670,6.00,0.1231,0.0522,0.0261,0.0359,0.0797,0.1178
ScenarioA,2.000,0.670,10.00,0.1671,0.0698,0.0346,0.0476,0.1068,0.1592
ScenarioA,2.000,0.670,25.00,0.3248,0.1348,0.0637,0.0892,0.2132,0.3315
ScenarioA,2.000,0.670,60.00,0.5142,0.2705,0.1279,0.1791,0.4279,0.6653
ScenarioA,2.000,0.670,100.00,0.8417,0.4238,0.2003,0.2806,0.6722,1.0527
ScenarioA,4.000,1.330,0.10,0.1221,0.0405,0.0123,0.0216,0.0764,0.1229
ScenarioA,4.000,1.330,0.25,0.1152,0.0288,0.0086,0.0152,0.0541,0.0873
ScenarioA,4.000,1.330,0.60,0.0682,0.0229,0.0075,0.0128,0.0401,0.0638
ScenarioA,4.000,1.330,1.00,0.0345,0.0142,0.0058,0.0086,0.0236,0.0355
ScenarioA,4.000,1.330,2.50,0.0157,0.0063,0.0028,0.0041,0.0108,0.0164
ScenarioA,4.000,1.330,6.00,0.0134,0.0054,0.0023,0.0035,0.0085,0.0139
ScenarioA,4.000,1.330,10.00,0.0154,0.0054,0.0023,0.0035,0.0091,0.0159
ScenarioA,4.000,1.330,25.00,0.0258,0.0093,0.0038,0.0055,0.0149,0.0253
ScenarioA,4.000,1.330,60.00,0.0481,0.0171,0.0072,0.0106,0.0288,0.0487
