# model,mass1,mass2,ctau,obs,exp,exp-2s,exp-1s,exp+1s,exp+1s
ScenarioB1,1.000,0.330,0.10,0.0063,0.0063,0.0020,0.0033,0.0116,0.0188
ScenarioB1,1.000,0.330,0.25,0.0028,0.0024,0.0009,0.0013,0.0046,0.0071
ScenarioB1,1.000,0.330,0.60,0.0020,0.0024,0.0003,0.0011,0.0040,0.0070
ScenarioB1,1.000,0.330,1.00,0.0021,0.0024,0.0009,0.0013,0.0040,0.0070
ScenarioB1,1.000,0.330,2.50,0.0026,0.0024,0.0009,0.0013,0.0046,0.0071
ScenarioB1,1.000,0.330,6.00,0.0042,0.0044,0.0014,0.0025,0.0080,0.0130
ScenarioB1,1.000,0.330,10.00,0.0059,0.0063,0.0020,0.0033,0.0116,0.0188
ScenarioB1,1.000,0.330,25.00,0.0125,0.0132,0.0037,0.0070,0.0254,0.0396
ScenarioB1,1.000,0.330,60.00,0.0312,0.0317,0.0094,0.0167,0.0629,0.0962
ScenarioB1,1.000,0.330,100.00,0.0644,0.0654,0.0192,0.0336,0.1306,0.1984
ScenarioB1,2.000,0.670,0.10,0.6357,0.6367,0.2835,0.4187,0.9540,1.3338
ScenarioB1,2.000,0.670,0.25,0.5338,0.3965,0.2091,0.2823,0.5593,0.7512
ScenarioB1,2.000,0.670,0.60,0.2361,0.1802,0.0915,0.1254,0.2592,0.3573
ScenarioB1,2.000,0.670,1.00,0.1368,0.1104,0.0522,0.0740,0.1636,0.2314
ScenarioB1,2.000,0.670,2.50,0.0692,0.0640,0.0325,0.0438,0.0943,0.1354
ScenarioB1,2.000,0.670,6.00,0.0684,0.0601,0.0296,0.0405,0.0902,0.1321
ScenarioB1,2.000,0.670,10.00,0.0709,0.0708,0.0354,0.0487,0.1072,0.1583
ScenarioB1,2.000,0.670,25.00,0.1063,0.1270,0.0605,0.0849,0.1978,0.3022
ScenarioB1,2.000,0.670,60.00,0.2129,0.2539,0.1210,0.1688,0.4027,0.6249
ScenarioB1,2.000,0.670,100.00,0.3441,0.3711,0.1740,0.2448,0.5885,0.9133
ScenarioB1,4.000,1.330,0.10,0.3415,0.1260,0.0418,0.0701,0.2264,0.3721
ScenarioB1,4.000,1.330,0.25,0.5425,0.1240,0.0436,0.0712,0.2130,0.3323
ScenarioB1,4.000,1.330,0.60,0.3231,0.0757,0.0257,0.0429,0.1318,0.2094
ScenarioB1,4.000,1.330,1.00,0.2331,0.0684,0.0248,0.0405,0.1136,0.1718
ScenarioB1,4.000,1.330,2.50,0.0630,0.0308,0.0139,0.0200,0.0479,0.0718
ScenarioB1,4.000,1.330,6.00,0.0166,0.0132,0.0062,0.0084,0.0220,0.0353
ScenarioB1,4.000,1.330,10.00,0.0109,0.0107,0.0047,0.0066,0.0179,0.0294
ScenarioB1,4.000,1.330,25.00,0.0100,0.0112,0.0046,0.0075,0.0195,0.0328
ScenarioB1,4.000,1.330,60.00,0.0185,0.0200,0.0084,0.0124,0.0337,0.0579
ScenarioB1,4.000,1.330,100.00,0.0250,0.0288,0.0122,0.0179,0.0481,0.0814
ScenarioB1,5.000,1.670,0.10,0.0985,0.1768,0.0552,0.0961,0.3191,0.5187
ScenarioB1,5.000,1.670,0.25,0.0527,0.0737,0.0225,0.0393,0.1390,0.2235
ScenarioB1,5.000,1.670,0.60,0.0687,0.0854,0.0267,0.0460,0.1556,0.2558
ScenarioB1,5.000,1.670,1.00,0.0836,0.0854,0.0280,0.0478,0.1488,0.2312
ScenarioB1,5.000,1.670,2.50,0.0487,0.0366,0.0146,0.0225,0.0597,0.0908
ScenarioB1,5.000,1.670,6.00,0.0185,0.0151,0.0061,0.0092,0.0243,0.0396
ScenarioB1,5.000,1.670,10.00,0.0136,0.0112,0.0046,0.0066,0.0188,0.0308
ScenarioB1,5.000,1.670,25.00,0.0117,0.0103,0.0042,0.0061,0.0178,0.0299
ScenarioB1,5.000,1.670,60.00,0.0157,0.0151,0.0061,0.0090,0.0262,0.0457
ScenarioB1,5.000,1.670,100.00,0.0190,0.0205,0.0074,0.0119,0.0372,0.0620
ScenarioB1,6.000,2.000,0.10,0.2179,0.1650,0.0516,0.0897,0.3006,0.4798
ScenarioB1,6.000,2.000,0.25,0.1572,0.0796,0.0243,0.0424,0.1488,0.2413
ScenarioB1,6.000,2.000,0.60,0.1531,0.0601,0.0183,0.0317,0.1122,0.1821
ScenarioB1,6.000,2.000,1.00,0.1793,0.0635,0.0198,0.0345,0.1161,0.1900
ScenarioB1,6.000,2.000,2.50,0.0850,0.0386,0.0154,0.0237,0.0626,0.0946
ScenarioB1,6.000,2.000,6.00,0.0386,0.0151,0.0061,0.0092,0.0243,0.0382
ScenarioB1,6.000,2.000,10.00,0.0300,0.0103,0.0042,0.0064,0.0174,0.0290
ScenarioB1,6.000,2.000,25.00,0.0309,0.0093,0.0038,0.0062,0.0167,0.0279
ScenarioB1,6.000,2.000,60.00,0.0443,0.0132,0.0054,0.0078,0.0229,0.0390
ScenarioB1,6.000,2.000,100.00,0.0595,0.0176,0.0069,0.0105,0.0308,0.0531
ScenarioB1,7.500,2.500,0.10,0.2033,0.0854,0.0257,0.0448,0.1624,0.2591
ScenarioB1,7.500,2.500,0.25,0.2803,0.0459,0.0136,0.0240,0.0876,0.1392
ScenarioB1,7.500,2.500,0.60,0.2803,0.0469,0.0143,0.0247,0.0884,0.1421
ScenarioB1,7.500,2.500,1.00,0.2494,0.0444,0.0135,0.0237,0.0816,0.1347
ScenarioB1,7.500,2.500,2.50,0.1291,0.0288,0.0104,0.0173,0.0476,0.0717
ScenarioB1,7.500,2.500,6.00,0.0492,0.0122,0.0050,0.0072,0.0196,0.0303
ScenarioB1,7.500,2.500,10.00,0.0362,0.0083,0.0029,0.0046,0.0133,0.0219
ScenarioB1,7.500,2.500,25.00,0.0341,0.0063,0.0020,0.0039,0.0108,0.0190
ScenarioB1,7.500,2.500,60.00,0.0529,0.0083,0.0029,0.0046,0.0152,0.0249
ScenarioB1,7.500,2.500,100.00,0.0725,0.0122,0.0042,0.0069,0.0219,0.0366
ScenarioB1,12.000,1.200,0.10,0.0748,0.0249,0.0082,0.0137,0.0444,0.0752
ScenarioB1,12.000,1.200,0.25,0.0613,0.0171,0.0056,0.0096,0.0315,0.0516
ScenarioB1,12.000,1.200,0.60,0.0697,0.0171,0.0056,0.0092,0.0304,0.0510
ScenarioB1,12.000,1.200,1.00,0.0751,0.0181,0.0059,0.0101,0.0322,0.0546
ScenarioB1,12.000,1.200,2.50,0.0727,0.0161,0.0053,0.0090,0.0290,0.0468
ScenarioB1,12.000,1.200,6.00,0.0533,0.0132,0.0054,0.0078,0.0203,0.0299
ScenarioB1,12.000,1.200,10.00,0.0332,0.0083,0.0034,0.0052,0.0128,0.0194
ScenarioB1,12.000,1.200,25.00,0.0238,0.0054,0.0023,0.0035,0.0085,0.0139
ScenarioB1,12.000,1.200,60.00,0.0327,0.0063,0.0028,0.0041,0.0100,0.0161
ScenarioB1,12.000,1.200,100.00,0.0366,0.0073,0.0032,0.0050,0.0125,0.0207
ScenarioB1,2.000,0.670,1000.00,3.3988,2.2734,0.9946,1.4442,3.7777,6.1538
ScenarioB1,4.000,1.330,1000.00,0.4132,0.2207,0.0948,0.1381,0.3773,0.6459
ScenarioB1,5.000,1.670,1000.00,0.1570,0.1670,0.0633,0.0989,0.2975,0.5062
ScenarioB1,6.000,2.000,1000.00,0.4604,0.1553,0.0649,0.0960,0.2667,0.4577
ScenarioB1,7.500,2.500,1000.00,0.3546,0.0767,0.0258,0.0429,0.1427,0.2324
ScenarioB1,12.000,1.200,1000.00,0.2168,0.0474,0.0211,0.0305,0.0795,0.1319
