dataset,fragment,events,generator,gridpack
HTo2ZdTo2mu2x_MZd-2p0_ctau-1000mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass_extension/13p6TeV/HTo2ZdTo2mu2x_MZd-2p0_ctau-1000mm_TuneCP5_13p6TeV_pythia8_cff.py,300000,madgraph,/eos/user/f/fernance/gridpacks/LLPScouting/LL_HAHM_extension/LL_HAHM_MS_400_kappa_0p01_MZd_2p0_ctau_1000_el9_amd64_gcc11_CMSSW_13_2_9_tarball.tar.xz
HTo2ZdTo2mu2x_MZd-2p5_ctau-1000mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass_extension/13p6TeV/HTo2ZdTo2mu2x_MZd-2p5_ctau-1000mm_TuneCP5_13p6TeV_pythia8_cff.py,300000,madgraph,/eos/user/f/fernance/gridpacks/LLPScouting/LL_HAHM_extension/LL_HAHM_MS_400_kappa_0p01_MZd_2p5_ctau_1000_el9_amd64_gcc11_CMSSW_13_2_9_tarball.tar.xz
HTo2ZdTo2mu2x_MZd-3p0_ctau-1000mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass_extension/13p6TeV/HTo2ZdTo2mu2x_MZd-3p0_ctau-1000mm_TuneCP5_13p6TeV_pythia8_cff.py,300000,madgraph,/eos/user/f/fernance/gridpacks/LLPScouting/LL_HAHM_extension/LL_HAHM_MS_400_kappa_0p01_MZd_3p0_ctau_1000_el9_amd64_gcc11_CMSSW_13_2_9_tarball.tar.xz
HTo2ZdTo2mu2x_MZd-4p0_ctau-1000mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass_extension/13p6TeV/HTo2ZdTo2mu2x_MZd-4p0_ctau-1000mm_TuneCP5_13p6TeV_pythia8_cff.py,300000,madgraph,/eos/user/f/fernance/gridpacks/LLPScouting/LL_HAHM_extension/LL_HAHM_MS_400_kappa_0p01_MZd_4p0_ctau_1000_el9_amd64_gcc11_CMSSW_13_2_9_tarball.tar.xz
HTo2ZdTo2mu2x_MZd-5p0_ctau-1000mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass_extension/13p6TeV/HTo2ZdTo2mu2x_MZd-5p0_ctau-1000mm_TuneCP5_13p6TeV_pythia8_cff.py,300000,madgraph,/eos/user/f/fernance/gridpacks/LLPScouting/LL_HAHM_extension/LL_HAHM_MS_400_kappa_0p01_MZd_5p0_ctau_1000_el9_amd64_gcc11_CMSSW_13_2_9_tarball.tar.xz
HTo2ZdTo2mu2x_MZd-6p0_ctau-1000mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass_extension/13p6TeV/HTo2ZdTo2mu2x_MZd-6p0_ctau-1000mm_TuneCP5_13p6TeV_pythia8_cff.py,300000,madgraph,/eos/user/f/fernance/gridpacks/LLPScouting/LL_HAHM_extension/LL_HAHM_MS_400_kappa_0p01_MZd_6p0_ctau_1000_el9_amd64_gcc11_CMSSW_13_2_9_tarball.tar.xz
HTo2ZdTo2mu2x_MZd-7p0_ctau-1000mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass_extension/13p6TeV/HTo2ZdTo2mu2x_MZd-7p0_ctau-1000mm_TuneCP5_13p6TeV_pythia8_cff.py,300000,madgraph,/eos/user/f/fernance/gridpacks/LLPScouting/LL_HAHM_extension/LL_HAHM_MS_400_kappa_0p01_MZd_7p0_ctau_1000_el9_amd64_gcc11_CMSSW_13_2_9_tarball.tar.xz
HTo2ZdTo2mu2x_MZd-8p0_ctau-1000mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass_extension/13p6TeV/HTo2ZdTo2mu2x_MZd-8p0_ctau-1000mm_TuneCP5_13p6TeV_pythia8_cff.py,300000,madgraph,/eos/user/f/fernance/gridpacks/LLPScouting/LL_HAHM_extension/LL_HAHM_MS_400_kappa_0p01_MZd_8p0_ctau_1000_el9_amd64_gcc11_CMSSW_13_2_9_tarball.tar.xz
HTo2ZdTo2mu2x_MZd-10p0_ctau-1000mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass_extension/13p6TeV/HTo2ZdTo2mu2x_MZd-10p0_ctau-1000mm_TuneCP5_13p6TeV_pythia8_cff.py,300000,madgraph,/eos/user/f/fernance/gridpacks/LLPScouting/LL_HAHM_extension/LL_HAHM_MS_400_kappa_0p01_MZd_10p0_ctau_1000_el9_amd64_gcc11_CMSSW_13_2_9_tarball.tar.xz
HTo2ZdTo2mu2x_MZd-12p0_ctau-1000mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass_extension/13p6TeV/HTo2ZdTo2mu2x_MZd-12p0_ctau-1000mm_TuneCP5_13p6TeV_pythia8_cff.py,300000,madgraph,/eos/user/f/fernance/gridpacks/LLPScouting/LL_HAHM_extension/LL_HAHM_MS_400_kappa_0p01_MZd_12p0_ctau_1000_el9_amd64_gcc11_CMSSW_13_2_9_tarball.tar.xz
