# Job started on: Tue Aug 19 21:39:49 CEST 2025 ..
# FONLL heavy quark hadroproduction cross section, calculated on Tue Aug 19 21:40:01 CEST 2025
# FONLL version and perturbative order: ## FONLL v1.3.4 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 5.5
# ptmax = 35.5
# etamin = -2.8
# etamax = 2.8
# Uncertainties from scales
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc
   5.5000 2.6282e+07 1.6525e+07 3.7572e+07 1.6525e+07 3.7572e+07
   6.3824 2.1568e+07 1.4101e+07 3.0781e+07 1.4101e+07 3.0781e+07
   7.2647 1.7317e+07 1.1688e+07 2.4609e+07 1.1688e+07 2.4609e+07
   8.1471 1.3764e+07 9.6812e+06 1.9443e+07 9.6812e+06 1.9443e+07
   9.0294 1.0908e+07 7.8506e+06 1.5299e+07 7.8506e+06 1.5299e+07
   9.9118 8.6571e+06 6.3658e+06 1.2048e+07 6.3658e+06 1.2048e+07
  10.7941 6.8966e+06 5.1671e+06 9.5196e+06 5.1671e+06 9.5196e+06
  11.6765 5.5236e+06 4.2030e+06 7.5619e+06 4.2030e+06 7.5619e+06
  12.5588 4.4503e+06 3.4284e+06 6.0428e+06 3.4284e+06 6.0428e+06
  13.4412 3.6070e+06 2.7948e+06 4.8582e+06 2.7948e+06 4.8582e+06
  14.3235 2.9425e+06 2.2928e+06 3.9320e+06 2.2928e+06 3.9320e+06
  15.2059 2.4157e+06 1.8926e+06 3.2034e+06 1.8926e+06 3.2034e+06
  16.0882 1.9943e+06 1.5708e+06 2.6252e+06 1.5708e+06 2.6252e+06
  16.9706 1.6557e+06 1.3108e+06 2.1640e+06 1.3108e+06 2.1640e+06
  17.8529 1.3823e+06 1.0998e+06 1.7942e+06 1.0998e+06 1.7942e+06
  18.7353 1.1601e+06 9.2740e+05 1.4959e+06 9.2740e+05 1.4959e+06
  19.6176 9.7838e+05 7.8569e+05 1.2538e+06 7.8569e+05 1.2538e+06
  20.5000 8.2898e+05 6.6861e+05 1.0560e+06 6.6861e+05 1.0560e+06
  21.3824 7.0554e+05 5.7143e+05 8.9356e+05 5.7143e+05 8.9356e+05
  22.2647 6.0305e+05 4.9038e+05 7.5952e+05 4.9038e+05 7.5952e+05
  23.1471 5.1753e+05 4.2245e+05 6.4838e+05 4.2245e+05 6.4838e+05
  24.0294 4.4584e+05 3.6526e+05 5.5577e+05 3.6526e+05 5.5577e+05
  24.9118 3.8548e+05 3.1691e+05 4.7824e+05 3.1691e+05 4.7824e+05
  25.7941 3.3445e+05 2.7588e+05 4.1303e+05 2.7588e+05 4.1303e+05
  26.6765 2.9114e+05 2.4093e+05 3.5797e+05 2.4093e+05 3.5797e+05
  27.5588 2.5425e+05 2.1105e+05 3.1128e+05 2.1105e+05 3.1128e+05
  28.4412 2.2272e+05 1.8542e+05 2.7158e+05 1.8542e+05 2.7158e+05
  29.3235 1.9567e+05 1.6335e+05 2.3767e+05 1.6335e+05 2.3767e+05
  30.2059 1.7238e+05 1.4430e+05 2.0861e+05 1.4430e+05 2.0861e+05
  31.0882 1.5227e+05 1.2779e+05 1.8363e+05 1.2779e+05 1.8363e+05
  31.9706 1.3485e+05 1.1345e+05 1.6208e+05 1.1345e+05 1.6208e+05
  32.8529 1.1971e+05 1.0096e+05 1.4342e+05 1.0096e+05 1.4342e+05
  33.7353 1.0653e+05 9.0043e+04 1.2724e+05 9.0043e+04 1.2724e+05
  34.6176 9.5014e+04 8.0486e+04 1.1315e+05 8.0486e+04 1.1315e+05
  35.5000 8.4930e+04 7.2096e+04 1.0085e+05 7.2096e+04 1.0085e+05
