# Job started on: Tue Aug 19 22:38:50 CEST 2025 ..
# FONLL heavy quark hadroproduction cross section, calculated on Tue Aug 19 22:39:01 CEST 2025
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6800, ebeam2 = 6800
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 5.5
# ptmax = 39.5
# etamin = -2.8
# etamax = 2.8
# Uncertainties from scales
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc
   5.5000 2.7222e+07 1.7020e+07 3.8933e+07 1.7020e+07 3.8933e+07
   6.5000 2.1760e+07 1.4214e+07 3.1053e+07 1.4214e+07 3.1053e+07
   7.5000 1.6947e+07 1.1489e+07 2.4058e+07 1.1489e+07 2.4058e+07
   8.5000 1.3064e+07 9.2396e+06 1.8409e+07 9.2396e+06 1.8409e+07
   9.5000 1.0056e+07 7.2856e+06 1.4051e+07 7.2856e+06 1.4051e+07
  10.5000 7.7682e+06 5.7610e+06 1.0755e+07 5.7610e+06 1.0755e+07
  11.5000 6.0379e+06 4.5618e+06 8.2816e+06 4.5618e+06 8.2816e+06
  12.5000 4.7283e+06 3.6319e+06 6.4252e+06 3.6319e+06 6.4252e+06
  13.5000 3.7309e+06 2.8915e+06 5.0234e+06 2.8915e+06 5.0234e+06
  14.5000 2.9684e+06 2.3153e+06 3.9611e+06 2.3153e+06 3.9611e+06
  15.5000 2.3802e+06 1.8679e+06 3.1490e+06 1.8679e+06 3.1490e+06
  16.5000 1.9222e+06 1.5176e+06 2.5222e+06 1.5176e+06 2.5222e+06
  17.5000 1.5635e+06 1.2415e+06 2.0352e+06 1.2415e+06 2.0352e+06
  18.5000 1.2806e+06 1.0224e+06 1.6543e+06 1.0224e+06 1.6543e+06
  19.5000 1.0555e+06 8.4709e+05 1.3538e+06 8.4709e+05 1.3538e+06
  20.5000 8.7522e+05 7.0589e+05 1.1149e+06 7.0589e+05 1.1149e+06
  21.5000 7.2988e+05 5.9146e+05 9.2371e+05 5.9146e+05 9.2371e+05
  22.5000 6.1199e+05 4.9817e+05 7.6968e+05 4.9817e+05 7.6968e+05
  23.5000 5.1576e+05 4.2163e+05 6.4485e+05 4.2163e+05 6.4485e+05
  24.5000 4.3674e+05 3.5848e+05 5.4303e+05 3.5848e+05 5.4303e+05
  25.5000 3.7152e+05 3.0612e+05 4.5949e+05 3.0612e+05 4.5949e+05
  26.5000 3.1739e+05 2.6249e+05 3.9057e+05 2.6249e+05 3.9057e+05
  27.5000 2.7227e+05 2.2597e+05 3.3343e+05 2.2597e+05 3.3343e+05
  28.5000 2.3449e+05 1.9526e+05 2.8584e+05 1.9526e+05 2.8584e+05
  29.5000 2.0270e+05 1.6932e+05 2.4602e+05 1.6932e+05 2.4602e+05
  30.5000 1.7584e+05 1.4732e+05 2.1253e+05 1.4732e+05 2.1253e+05
  31.5000 1.5305e+05 1.2860e+05 1.8426e+05 1.2860e+05 1.8426e+05
  32.5000 1.3364e+05 1.1260e+05 1.6030e+05 1.1260e+05 1.6030e+05
  33.5000 1.1705e+05 9.8881e+04 1.3990e+05 9.8881e+04 1.3990e+05
  34.5000 1.0282e+05 8.7081e+04 1.2248e+05 8.7081e+04 1.2248e+05
  35.5000 9.0582e+04 7.6898e+04 1.0754e+05 7.6898e+04 1.0754e+05
  36.5000 8.0014e+04 6.8082e+04 9.4697e+04 6.8082e+04 9.4697e+04
  37.5000 7.0862e+04 6.0427e+04 8.3615e+04 6.0427e+04 8.3615e+04
  38.5000 6.2912e+04 5.3759e+04 7.4023e+04 5.3759e+04 7.4023e+04
  39.5000 5.5986e+04 4.7937e+04 6.5696e+04 4.7937e+04 6.5696e+04
