# Job started on: Wed Aug 20 21:50:28 CEST 2025 ........
# FONLL heavy quark hadroproduction cross section, calculated on Wed Aug 20 21:51:43 CEST 2025
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6800, ebeam2 = 6800
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 300
# etamin = -8
# etamax = 8
# Uncertainties from scales
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc
   0.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   1.0033 4.1022e+07 2.1987e+07 6.0855e+07 2.1987e+07 6.0855e+07
   2.0067 6.3194e+07 3.5521e+07 9.1042e+07 3.5521e+07 9.1042e+07
   3.0100 6.6945e+07 3.9328e+07 9.5430e+07 3.9328e+07 9.5430e+07
   4.0134 5.9910e+07 3.6701e+07 8.5545e+07 3.6701e+07 8.5545e+07
   5.0167 4.8807e+07 3.1152e+07 6.9866e+07 3.1152e+07 6.9866e+07
   6.0201 3.7778e+07 2.5078e+07 5.4034e+07 2.5078e+07 5.4034e+07
   7.0234 2.8536e+07 1.9570e+07 4.0645e+07 1.9570e+07 4.0645e+07
   8.0268 2.1376e+07 1.5254e+07 3.0247e+07 1.5254e+07 3.0247e+07
   9.0301 1.6026e+07 1.1730e+07 2.2494e+07 1.1730e+07 2.2494e+07
  10.0334 1.2086e+07 9.0432e+06 1.6812e+07 9.0432e+06 1.6812e+07
  11.0368 9.1891e+06 7.0049e+06 1.2665e+07 7.0049e+06 1.2665e+07
  12.0401 7.0594e+06 5.4172e+06 9.6392e+06 5.4172e+06 9.6392e+06
  13.0435 5.4696e+06 4.2250e+06 7.3994e+06 4.2250e+06 7.3994e+06
  14.0468 4.2784e+06 3.3261e+06 5.7354e+06 3.3261e+06 5.7354e+06
  15.0502 3.3789e+06 2.6433e+06 4.4900e+06 2.6433e+06 4.4900e+06
  16.0535 2.6908e+06 2.1178e+06 3.5457e+06 2.1178e+06 3.5457e+06
  17.0569 2.1601e+06 1.7100e+06 2.8235e+06 1.7100e+06 2.8235e+06
  18.0602 1.7478e+06 1.3914e+06 2.2670e+06 1.3914e+06 2.2670e+06
  19.0635 1.4244e+06 1.1400e+06 1.8340e+06 1.1400e+06 1.8340e+06
  20.0669 1.1687e+06 9.4004e+05 1.4943e+06 9.4004e+05 1.4943e+06
  21.0702 9.6490e+05 7.7989e+05 1.2256e+06 7.7989e+05 1.2256e+06
  22.0736 8.0148e+05 6.5078e+05 1.0115e+06 6.5078e+05 1.0115e+06
  23.0769 6.6948e+05 5.4597e+05 8.3982e+05 5.4597e+05 8.3982e+05
  24.0803 5.6215e+05 4.6034e+05 7.0117e+05 4.6034e+05 7.0117e+05
  25.0836 4.7438e+05 3.9000e+05 5.8850e+05 3.9000e+05 5.8850e+05
  26.0870 4.0220e+05 3.3190e+05 4.9640e+05 3.3190e+05 4.9640e+05
  27.0903 3.4253e+05 2.8368e+05 4.2071e+05 2.8368e+05 4.2071e+05
  28.0936 2.9295e+05 2.4345e+05 3.5816e+05 2.4345e+05 3.5816e+05
  29.0970 2.5156e+05 2.0974e+05 3.0619e+05 2.0974e+05 3.0619e+05
  30.1003 2.1685e+05 1.8135e+05 2.6282e+05 1.8135e+05 2.6282e+05
  31.1037 1.8761e+05 1.5736e+05 2.2647e+05 1.5736e+05 2.2647e+05
  32.1070 1.6289e+05 1.3701e+05 1.9586e+05 1.3701e+05 1.9586e+05
  33.1104 1.4190e+05 1.1967e+05 1.6999e+05 1.1967e+05 1.6999e+05
  34.1137 1.2400e+05 1.0485e+05 1.4803e+05 1.0485e+05 1.4803e+05
  35.1171 1.0870e+05 9.2131e+04 1.2932e+05 9.2131e+04 1.2932e+05
  36.1204 9.5553e+04 8.1181e+04 1.1332e+05 8.1181e+04 1.1332e+05
  37.1237 8.4233e+04 7.1723e+04 9.9587e+04 7.1723e+04 9.9587e+04
  38.1271 7.4452e+04 6.3531e+04 8.7766e+04 6.3531e+04 8.7766e+04
  39.1304 6.5975e+04 5.6414e+04 7.7560e+04 5.6414e+04 7.7560e+04
  40.1338 5.8608e+04 5.0214e+04 6.8720e+04 5.0214e+04 6.8720e+04
